title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers,total_reviews,positive_reviews,negative_reviews
GUILTY GEAR -STRIVE-,1384160,2021-06-11,39.99,85,Very Positive,91,Arc System Works,Arc System Works,22125,20606,1519
King Arthur: Knights Tale,1157390,2022-04-26,44.99,76,Very Positive,83,NeocoreGames,NeocoreGames,2386,2025,361
Tales of Arise,740130,2021-09-10,39.99,84,Very Positive,88,Bandai Namco Studios Inc.,Bandai Namco Entertainment,9572,8563,1009
King of Seas,1209410,2021-05-25,54.97,68,Mixed,57,3DClouds,Team17,229,137,92
STAR WARS Jedi: Survivor,1774580,2023-04-27,69.99,78,Mixed,65,Respawn,Electronic Arts,28279,18511,9768
Muv-Luv Alternative,802890,2017-09-18,39.99,83,Overwhelmingly Positive,95,aNCHOR Inc.,aNCHOR Inc.,724,684,40
Demeo,1484280,2021-05-06,39.99,83,Very Positive,91,Resolution Games,Resolution Games,927,842,85
Kena: Bridge of Spirits,1954200,2021-09-21,39.99,83,Very Positive,92,Ember Lab,Ember Lab,4120,3807,313
Sairento VR,555880,2018-02-06,29.99,78,Very Positive,86,Mixed Realms Pte Ltd,Mixed Realms Pte Ltd,1171,1013,158
The Room VR: A Dark Matter,1104380,2020-03-26,29.99,78,Overwhelmingly Positive,97,Fireproof Games,Fireproof Games,2101,2047,54
ALTDEUS: Beyond Chronos,1502080,2020-12-04,29.99,78,Very Positive,96,MyDearest Inc.,MyDearest Inc.,66,62,4
SnowRunner,1465360,2020-04-28,29.99,82,Very Positive,89,Saber Interactive,Focus Entertainment,9455,8337,1118
MythForce,363860,2023-09-12,29.99,68,Mixed,63,Beamdog,Aspyr,151,106,45
Down in Bermuda,1107300,2021-01-14,39.98,68,Very Positive,89,Yak & Co,Yak & Co,316,274,42
Red Matter 2,2081470,2022-08-18,29.99,84,Very Positive,94,Vertical Robot,Vertical Robot,207,193,14
FlatOut 4: Total Insanity,402130,2017-04-04,29.99,52,Mixed,52,Kylotonn,Strategy First,371,176,195
HOT WHEELS UNLEASHED 2 - Turbocharged,2051120,2023-10-19,49.99,75,Very Positive,80,Milestone S.r.l.,Milestone S.r.l.,98,76,22
Sifu,2138710,2022-02-08,39.99,79,Very Positive,93,Sloclap,Kepler Interactive,2370,2209,161
Hogwarts Legacy,990080,2023-02-10,59.99,83,Very Positive,92,Avalanche Software,Warner Bros. Games,99842,93267,6575
Hi-Fi RUSH,1817230,2023-01-25,29.99,89,Overwhelmingly Positive,97,Tango Gameworks,Bethesda Softworks,10591,10381,210
Starfield,1716740,2023-09-06,69.99,86,Mixed,68,Bethesda Game Studios,Bethesda Softworks,60939,41899,19040
"Warhammer 40,000: Mechanicus",673880,2018-11-15,69.98,78,Very Positive,92,Bulwark Studios,Kasedo Games,6614,6172,442
Mortal Kombat 1,1971870,2023-09-19,69.99,82,Mostly Positive,75,NetherRealm Studios,Warner Bros. Games,8126,6072,2054
Tank Mechanic Simulator,407130,2020-02-20,51.97,57,Very Positive,88,DeGenerals S.A.,PlayWay S.A.,2714,2434,280
Soulstice,1602080,2022-09-20,39.99,68,Mostly Positive,79,Reply Game Studios,Modus Games,510,426,84
Brigandine The Legend of Runersia,1843940,2022-05-10,39.99,72,Very Positive,86,Happinet,Happinet,450,410,40
Agatha Christie: Murder On The Orient Express,1904790,2023-10-19,39.99,74,Very Positive,90,Microids Studio Lyon,Microids,52,48,4
Sea of Stars,1244090,2023-08-29,34.99,88,Very Positive,88,Sabotage Studio,Sabotage Studio,3015,2762,253
Paleo Pines,1202200,2023-09-26,29.99,65,Very Positive,89,Italic Pig,Modus Games,643,578,65
Stray,1332010,2022-07-19,29.99,82,Overwhelmingly Positive,97,BlueTwelve Studio,Annapurna Interactive,60554,59023,1531
"Warhammer 40,000: Darktide",1361210,2022-11-30,39.99,74,Mixed,65,Fatshark,Fatshark,52925,35314,17611
Blair Witch,1092660,2019-08-30,59.98,69,Mostly Positive,77,Bloober Team SA,Bloober Team NA,2322,1791,531
Into the Radius VR,1012790,2020-02-13,29.99,76,Very Positive,94,CM Games,CM Games,6419,6063,356
Mutropolis,1037120,2021-02-18,41.97,71,Very Positive,91,Pirita Studio,Application Systems Heidelberg,56,50,6
Dakar Desert Rally,1839940,2022-10-04,39.99,62,Mixed,59,Saber Porto Ltd.,Saber Interactive,393,226,167
Windlands 2,458580,2018-09-12,29.99,73,Very Positive,81,Psytec Games Ltd,Psytec Games Ltd,292,232,60
TEVI,2230650,2023-11-30,29.99,83,Very Positive,92,CreSpirit,Neverland Entertainment,245,233,12
Cosmonious High,1491490,2022-03-31,29.99,86,Very Positive,95,Owlchemy Labs,Owlchemy Labs,153,146,7
Myst,1255560,2021-08-26,29.99,78,Very Positive,88,Cyan Worlds Inc,Cyan Worlds Inc,873,771,102
Battlewake,814400,2019-09-10,29.99,70,Mixed,67,Survios,Survios,54,33,21
No Man's Sky,275850,2016-08-12,59.99,61,Mostly Positive,77,Hello Games,Hello Games,136002,102828,33174
Dinosaur Fossil Hunter,864700,2022-05-04,36.98,65,Mostly Positive,74,▲ Pyramid Games,PlayWay S.A.,267,200,67
God of Rock,1851030,2023-04-18,29.99,62,Mixed,58,Modus Studios,Modus Games,22,13,9
Last Train Home,1469610,2023-11-28,39.99,83,Very Positive,84,Ashborne Games,THQ Nordic,438,381,57
Skully,1249110,2020-08-04,29.99,61,Mostly Positive,75,Finish Line Games,Modus Games,20,16,4
Override 2: Super Mech League,1329790,2020-12-22,29.99,61,Mixed,63,Modus Studios Brazil,Modus Games,54,32,22
SteamWorld Build,2134770,2023-12-01,29.99,73,Mostly Positive,74,The Station,Thunderful Publishing,291,216,75
Cartel Tycoon,1220140,2022-07-26,49.98,71,Mostly Positive,77,Moon Moose,tinyBuild,1003,755,248
The Last of Us Part I,1888930,2023-03-28,59.99,59,Mixed,66,Naughty Dog LLC,PlayStation PC LLC,13108,9034,4074
The Tarnishing of Juxtia,1428710,2022-07-26,44.98,69,Mixed,67,Actual Nerds,Neverland Entertainment,127,100,27
Imagine Earth,280720,2021-05-25,29.98,78,Mostly Positive,78,Serious Bros.,Serious Bros.,427,323,104
Vacation Simulator,726830,2019-04-09,29.99,77,Very Positive,93,Owlchemy Labs,Owlchemy Labs,636,588,48
Telling Lies,762830,2019-08-23,29.98,84,Mixed,64,Sam Barlow,Annapurna Interactive,566,357,209
Pathologic 2,505230,2019-05-23,49.98,70,Very Positive,92,Ice-Pick Lodge,tinyBuild,3593,3342,251
Daymare: 1994 Sandcastle,1530470,2023-08-30,29.99,61,Mostly Positive,71,Invader Studios,4Divinity,136,97,39
Firmament,754890,2023-05-18,34.99,68,Mixed,68,Cyan Worlds Inc,Cyan Worlds Inc,456,305,151
Company of Heroes 3,1677280,2023-02-23,59.99,81,Mixed,53,Relic Entertainment,SEGA,7282,4047,3235
Necromunda: Hired Gun,1222370,2021-06-01,69.98,62,Mixed,69,Streum On Studio,Focus Entertainment,3206,2275,931
CARRION,953490,2020-07-23,29.98,75,Very Positive,94,Phobia Game Studio,Devolver Digital,11810,11186,624
High On Life,1583230,2022-12-13,54.98,69,Very Positive,89,"Squanch Games, Inc."," Squanch Games, Inc.",8852,7915,937
Moonglow Bay,1361400,2021-10-26,39.97,63,Mixed,69,Bunnyhug,Coatsink,243,178,65
Medieval Dynasty,1129580,2020-12-17,34.99,73,Very Positive,90,Render Cube,Toplitz Productions,12497,11218,1279
BONEWORKS,823500,2019-12-10,29.99,72,Very Positive,92,Stress Level Zero,Stress Level Zero,28059,25972,2087
Dwarf Fortress,975370,2006-08-08,29.99,93,Overwhelmingly Positive,95,Bay 12 Games,Kitfox Games,18768,17918,850
BONELAB,1592190,2022-09-29,39.99,65,Mostly Positive,77,Stress Level Zero,Stress Level Zero,10457,7996,2461
Bendy and the Dark Revival,1063660,2022-11-15,29.99,72,Very Positive,94,Joey Drew Studios,Joey Drew Studios,5329,4985,344
RAILGRADE,1355090,2022-09-29,29.99,79,Very Positive,80,Minakata Dynamics,Gamera Games,219,182,37
Ravenbound,1307660,2023-03-30,33.98,54,Mixed,52,Systemic Reaction™,Systemic Reaction™,431,241,190
Hell Let Loose,686810,2021-07-27,44.99,79,Very Positive,84,Team17,Team17,45487,38302,7185
Tin Hearts,1831700,2023-05-16,32.98,76,Positive,93,Rogue Sun,Wired Productions,20,18,2
Agatha Christie - Hercule Poirot: The London Case,2223740,2023-08-29,29.99,71,Mixed,53,Blazing Griffin,Microids,18,7,11
Old World,597180,2021-07-01,39.99,80,Very Positive,81,Mohawk Games,Hooded Horse,1623,1352,271
Beyond a Steel Sky,1146310,2020-07-16,42.98,70,Very Positive,88,Revolution Software Ltd,Revolution Software Ltd,592,518,74
Sam and Max: This Time Its Virtual!,1431290,2021-09-10,29.99,65,Mostly Negative,38,HappyGiant,Big Sugar,70,27,43
Zombie Army 4: Dead War,694280,2019-08-27,59.98,74,Very Positive,86,Rebellion,Rebellion,1718,1454,264
Strategic Mind: Spirit of Liberty,1474770,2023-08-28,29.99,70,Positive,84,Starni Games,Hyperstrange,15,11,4
Ghost on the Shore,1211930,2022-02-24,29.97,74,Very Positive,84,like Charlie,Application Systems Heidelberg,74,62,12
The Darkness II,67370,2012-02-06,29.99,77,Very Positive,90,Digital Extremes,2K,2944,2619,325
Total War: SHOGUN 2,201270,2011-03-15,29.99,90,Very Positive,91,CREATIVE ASSEMBLY,Feral Interactive (Linux),17585,16209,1376
Ultra Street Fighter IV,45760,2014-08-07,29.99,82,Very Positive,91,Capcom,Capcom,4412,3971,441
Wasteland 2: Director's Cut,240760,2015-10-13,29.99,87,Very Positive,82,inXile Entertainment,inXile Entertainment,3077,2504,573
Call of Duty: Black Ops,42700,2010-11-09,39.99,81,Very Positive,91,Treyarch,Aspyr (Mac),11145,10110,1035
Universe Sandbox,72200,2011-04-29,29.99,83,Overwhelmingly Positive,96,Giant Army,Giant Army,1745,1401,344
"Warhammer 40,000: Dawn of War II: Retribution",56437,2011-02-28,29.99,80,Very Positive,89,Relic Entertainment,Feral Interactive (Mac/Linux),3948,3564,384
Singularity,42670,2010-06-29,29.99,76,Very Positive,92,Jingjing Shen,Screen South,2632,2421,211
Silent Hill Homecoming,19000,2008-11-06,39.99,64,Mixed,48,Double Helix Games,KONAMI,859,372,487
Sins of a Solar Empire - Rebellion,204880,2012-06-12,39.99,82,Very Positive,93,Ironclad Games,Stardock Entertainment,6833,6468,365
Prototype 2,115320,2012-07-24,39.99,76,Mostly Positive,73,Radical Entertainment,Activision,3541,2493,1048
Call of Duty: Black Ops II,202970,2012-11-12,59.99,74,Very Positive,86,Treyarch,Activision,9525,8040,1485
Spec Ops: The Line,50300,2012-06-25,29.99,76,Very Positive,93,YAGER,Missing Link Games,13701,12750,951
Carrier Command: Gaea Mission,65740,2012-09-28,32.99,60,Mixed,51,Bohemia Interactive,Bohemia Interactive,479,230,249
XCOM: Enemy Unknown,200510,2012-10-08,29.99,89,Very Positive,94,Firaxis Games,Feral Interactive (Linux),22338,21071,1267
Might and Magic Heroes VI,48220,2011-10-13,29.99,77,Mixed,46,Blackhole,Ubisoft,3539,1318,2221
BioShock Infinite,8870,2013-03-25,29.99,94,Very Positive,93,Irrational Games,2K,43707,39956,3751
DMC - Devil May Cry,220440,2013-01-24,29.99,85,Very Positive,93,Ninja Theory,Capcom,5495,5021,474
Arma 3,107410,2013-09-12,29.99,74,Very Positive,91,Bohemia Interactive,Bohemia Interactive,80240,73675,6565
Prison Architect,233450,2015-10-06,29.99,83,Very Positive,90,Double Eleven,Paradox Interactive,31257,28010,3247
Kenshi,233860,2011-11-21,29.99,75,Overwhelmingly Positive,95,Lo-Fi Games,Lo-Fi Games,34808,33027,1781
Remember Me,228300,2013-06-03,29.99,65,Very Positive,83,DONTNOD Entertainment,Capcom,4401,3520,881
War For The Overworld,230190,2015-04-02,29.99,65,Very Positive,86,Brightrock Games,Brightrock Games,3707,3213,494
Call of Duty: Ghosts,209160,2013-11-04,59.99,68,Mixed,60,Infinity Ward,Activision,5359,2874,2485
Europa Universalis IV,236850,2013-08-13,39.99,87,Very Positive,86,Paradox Development Studio,Paradox Interactive,42972,37244,5728
Divinity: Dragon Commander,243950,2013-08-06,39.99,76,Mostly Positive,72,Larian Studios,Larian Studios,1199,868,331
Castlevania: Lords of Shadow  Ultimate Edition,234080,2013-08-27,29.99,81,Very Positive,80,MercurySteam,KONAMI,2703,1972,731
X Rebirth,2870,2013-11-15,29.99,33,Mixed,41,Egosoft,Egosoft,3384,1241,2143
Shadow Warrior,233130,2013-09-26,29.99,73,Very Positive,92,Flying Wild Hog,Devolver Digital,7694,7207,487
Assassin's Creed IV Black Flag,242050,2013-11-19,39.99,84,Very Positive,88,Ubisoft Montreal,Ubisoft,22833,19956,2877
Rust,252490,2018-02-08,39.99,69,Very Positive,87,Facepunch Studios,Facepunch Studios,427420,374312,53108
METAL GEAR RISING: REVENGEANCE,235460,2014-01-09,29.99,83,Overwhelmingly Positive,95,PlatinumGames,KONAMI,32219,30846,1373
Men of War: Assault Squad 2,244450,2014-03-20,29.99,68,Very Positive,91,Digitalmindsoft,Fulqrum Publishing,14712,13465,1247
South Park: The Stick of Truth,213670,2014-03-04,29.99,85,Overwhelmingly Positive,97,Obsidian Entertainment,Ubisoft,24791,24097,694
Castlevania: Lords of Shadow 2,239250,2014-02-25,39.99,58,Very Positive,83,MercurySteam,KONAMI,1435,1118,317
Dark Souls II,236430,2014-04-25,39.99,91,Very Positive,88,"FromSoftware, Inc","FromSoftware, Inc",13750,11672,2078
YAIBA: NINJA GAIDEN Z,252230,2014-03-21,29.99,49,Mixed,65,Spark Unlimited,"KOEI TECMO GAMES CO., LTD.",278,174,104
Wargame: Red Dragon,251060,2014-04-17,29.99,78,Very Positive,88,Eugen Systems,Eugen Systems,7404,6584,820
Galactic Civilizations III,226860,2015-05-14,39.99,81,Mostly Positive,76,Stardock Entertainment,Stardock Entertainment,6441,5004,1437
