title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers
Watch_Dogs 2,447040,2016-11-28,49.99,75,Very Positive,82,Ubisoft,Ubisoft
Dishonored 2,403640,2016-11-10,29.99,86,Very Positive,89,Arkane Studios,Bethesda Softworks
Tom Clancy's Ghost Recon Wildlands,460930,2017-03-06,49.99,69,Very Positive,80,Ubisoft Paris,Ubisoft
South Park The Fractured But Whole,488790,2017-10-17,49.99,81,Very Positive,83,Ubisoft San Francisco,Ubisoft
Call of Duty: Infinite Warfare,292730,2016-11-03,59.99,73,Mixed,59,Infinity Ward,Activision
Worms W.M.D,327030,2016-08-23,29.99,76,Very Positive,85,Team17,Team17
UNDER NIGHT IN-BIRTH Exe:Late,452510,2016-07-12,29.99,81,Very Positive,90,FRENCH-BREAD,Arc System Works
RimWorld,294100,2018-10-17,34.99,87,Overwhelmingly Positive,98,Ludeon Studios,Ludeon Studios
Urban Empire,352550,2017-01-20,29.99,62,Mostly Negative,34,Reborn Games,Kalypso Media Digital
Blade Arcus from Shining: Battle Arena,446040,2016-07-28,29.99,64,Very Positive,83,Studio Saizensen,Studio Saizensen
Vikings - Wolves of Midgard,404590,2017-03-24,29.99,66,Mixed,58,Games Farm,Kalypso Media Digital
Steep,460920,2016-12-02,29.99,72,Very Positive,81,Ubisoft Annecy,Ubisoft
Planet Coaster ,493340,2016-11-17,44.99,84,Very Positive,91,Frontier Developments,Aspyr (Mac)
Ashes of the Singularity: Escalation,507490,2016-11-10,29.99,81,Mostly Positive,77,Stardock Entertainment,Stardock Entertainment
Shadow Warrior 2,324800,2016-10-13,29.99,78,Very Positive,87,Flying Wild Hog,Devolver Digital
STEINS;GATE,412830,2014-03-31,29.99,87,Overwhelmingly Positive,97,MAGES. Inc.,"Spike Chunsoft Co., Ltd."
Sniper Elite 4,312660,2017-02-14,59.99,78,Very Positive,91,Rebellion,Rebellion
Oriental Empires,357310,2017-09-14,29.99,74,Very Positive,80,Shining Pixel Studios,Iceberg Interactive
Transport Fever,446800,2016-11-08,29.99,71,Very Positive,82,Urban Games,Good Shepherd Entertainment
Tyranny,362960,2016-11-10,29.99,80,Very Positive,87,Obsidian Entertainment,Paradox Interactive
The Elder Scrolls V: Skyrim Special Edition,489830,2016-10-27,39.99,74,Overwhelmingly Positive,95,Bethesda Game Studios,Bethesda Softworks
Arizona Sunshine,342180,2016-12-05,29.99,81,Very Positive,80,Vertigo Games,Vertigo Games
Dawn of Andromeda,427570,2017-05-04,29.99,70,Mixed,44,Grey Wolf Entertainment,Iceberg Interactive
The Dwarves,403970,2016-12-01,39.99,61,Mostly Positive,74,KING Art,EuroVideo Medien
Bulletstorm: Full Clip Edition,501590,2017-04-07,39.99,76,Very Positive,88,People Can Fly,Gearbox Publishing
Shadow Tactics: Blades of the Shogun,418240,2016-12-06,39.99,85,Overwhelmingly Positive,96,Mimimi Games,Daedalic Entertainment
Yooka-Laylee,360830,2017-04-05,39.99,73,Mostly Positive,78,Playtonic Games,Playtonic Friends
ASTRONEER,361420,2019-02-06,29.99,71,Very Positive,92,System Era Softworks,System Era Softworks
"Warhammer 40,000: Sanctus Reach",502370,2017-01-19,29.99,69,Very Positive,86,Straylight Entertainment,Slitherine Ltd.
Prey,480490,2017-05-04,29.99,82,Very Positive,90,Arkane Studios,Bethesda Softworks
Nights of Azure,527280,2017-02-07,29.99,64,Mixed,69,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
Conan Exiles,440900,2018-05-08,39.99,68,Mostly Positive,78,Funcom,Funcom
BERSERK and the Band of the Hawk,502280,2017-02-21,59.99,54,Very Positive,80,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
Dead Rising 4,543460,2016-12-06,29.99,74,Mixed,59,"Capcom Game Studio Vancouver, Inc.",Capcom
Northgard,466560,2017-02-22,29.99,81,Very Positive,88,Shiro Games,Shiro Unlimited
NieR: Automata,524220,2017-03-17,39.99,84,Very Positive,87,Square Enix,Square Enix
"Warhammer 40,000: Dawn of War III",285190,2017-04-27,39.99,77,Mixed,49,Relic Entertainment,Feral Interactive (Linux)
Toukiden 2,551730,2017-03-21,59.99,73,Mostly Positive,79,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
SENRAN KAGURA ESTIVAL VERSUS,502800,2017-03-17,29.99,71,Very Positive,94,Tamsoft,Marvelous
Zero Escape: The Nonary Games,477740,2017-03-24,29.99,86,Very Positive,94,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd."
Steel Division: Normandy 44,572410,2017-05-23,39.99,83,Mostly Positive,73,Eugen Systems,Paradox Interactive
RiME,493200,2017-05-26,29.99,78,Very Positive,90,Tequila Works,Six Foot
Rick and Morty: Virtual Rick-ality,469610,2017-04-15,29.99,75,Mostly Positive,75,Owlchemy Labs,Adult Swim Games
Outlast 2,414700,2017-04-24,29.99,75,Very Positive,91,Red Barrels,Red Barrels
Marvel vs. Capcom: Infinite,493840,2017-09-19,39.99,69,Mixed,63,Capcom,Capcom
Call of Duty WWII,476600,2017-11-02,59.99,73,Mixed,68,Sledgehammer Games,Activision
Expeditions: Viking,445190,2017-04-27,29.99,74,Very Positive,83,Logic Artists,THQ Nordic
The Legend of Heroes: Trails in the Sky the 3rd,436670,2017-05-03,29.99,83,Very Positive,93,Nihon Falcom,"Marvelous USA, Inc."
Agents of Mayhem,304530,2017-08-15,29.99,68,Mixed,59,Deep Silver Volition,Deep Silver
Far Cry 5,552520,2018-03-26,59.99,78,Very Positive,80,Ubisoft Montreal,Ubisoft
ELEX,411300,2017-10-17,29.99,67,Mostly Positive,72,Piranha Bytes,THQ Nordic
Battle Chasers: Nightwar,451020,2017-10-03,29.99,78,Very Positive,87,Airship Syndicate,THQ Nordic
Aven Colony,484900,2017-07-25,29.99,65,Mostly Positive,73,Mothership Entertainment LLC,Team17 Digital Ltd
The Evil Within 2,601430,2017-10-12,39.99,80,Very Positive,92,Tango Gameworks,Bethesda Softworks
Dishonored: Death of the Outsider,614570,2017-09-14,29.99,81,Very Positive,86,Arkane Studios,Bethesda Softworks
Total War: WARHAMMER II,594570,2017-09-28,59.99,87,Very Positive,93,CREATIVE ASSEMBLY,Feral Interactive (Linux)
Assassins Creed Origins,582160,2017-10-27,59.99,84,Very Positive,86,Ubisoft Montreal,Ubisoft
VALKYRIE DRIVE -BHIKKHUNI-,550080,2017-06-20,29.99,53,Very Positive,84,Meteorise,Marvelous
Hello Neighbor,521890,2017-12-08,29.99,38,Very Positive,84,Dynamic Pixels,tinyBuild
Absolver,473690,2017-08-29,29.99,75,Mostly Positive,73,Sloclap,Devolver Digital
LOST SPHEAR,525240,2018-01-23,49.99,69,Mixed,55,Tokyo RPG Factory,Square Enix
The Legend of Heroes: Trails of Cold Steel,538680,2017-08-02,39.99,80,Very Positive,94,Nihon Falcom,"Marvelous USA, Inc."
Dungeons 3,493900,2017-10-13,29.99,75,Very Positive,94,Realmforge Studios,Kalypso Media
Kingdom Come: Deliverance,379430,2018-02-13,29.99,76,Very Positive,82,Warhorse Studios,Prime Matter
The Crew 2,646910,2018-06-28,49.99,66,Very Positive,83,Ivory Tower,Ubisoft
Secret of Mana,637670,2018-02-15,39.99,57,Mostly Positive,70,Square Enix,Square Enix
Battlestar Galactica Deadlock,544610,2017-08-31,39.99,77,Very Positive,86,Black Lab Games,Slitherine Ltd.
"Warhammer 40,000: Inquisitor - Martyr",527430,2018-06-05,49.99,67,Mostly Positive,74,NeocoreGames,NeocoreGames
Call of Duty: Black Ops III,311210,2015-11-05,59.99,73,Very Positive,86,Treyarch,Aspyr (Mac)
Sonic Forces,637100,2017-11-07,39.99,56,Mixed,62,Sonic Team,SEGA
Danganronpa V3: Killing Harmony,567640,2017-09-25,39.99,80,Very Positive,84,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd."
The Guild 3,311260,2022-06-14,29.99,65,Mixed,61,Purple Lamp,THQ Nordic
EMPYRE: Lords of the Sea Gates,696810,2017-10-04,29.99,56,Mixed,66,Coin Operated Games,Work Shift Play Inc.
A Hat in Time,253230,2017-10-05,29.99,79,Overwhelmingly Positive,98,Gears for Breakfast,Gears for Breakfast
Field of Glory II,660160,2017-10-12,29.99,84,Very Positive,87,Byzantine Games,Slitherine Ltd.
Hand of Fate 2,456670,2017-11-07,29.99,80,Very Positive,84,Defiant Development,Defiant Development
Railway Empire,503940,2018-01-26,29.99,74,Very Positive,82,Gaming Minds Studios,Kalypso Media
TRANSROAD: USA,494670,2017-11-09,29.99,53,Mixed,50,Deck13 Hamburg,astragon Entertainment
Black Mirror,292930,2017-11-28,29.99,60,Mixed,45,KING Art,THQ Nordic
They Are Billions,644930,2019-06-18,29.99,77,Very Positive,85,Numantian Games,Numantian Games
Fade to Silence,706020,2019-04-30,29.99,57,Mixed,62,Black Forest Games,THQ Nordic
Sword Art Online: Fatal Bullet,626690,2018-02-23,39.99,61,Very Positive,80,DIMPS,BANDAI NAMCO Entertainment
Metal Gear Survive,543900,2018-02-21,29.99,54,Mixed,64,KONAMI,KONAMI
Pillars of Eternity II: Deadfire,560130,2018-05-08,39.99,88,Very Positive,87,Obsidian Entertainment,Obsidian Entertainment
Final Fantasy XII The Zodiac Age,595520,2018-02-01,49.99,83,Very Positive,89,Square Enix,Square Enix
In Death,605450,2018-02-01,29.99,77,Very Positive,84,Sólfar Studios,Sólfar Studios
FINAL FANTASY XV WINDOWS EDITION,637650,2018-03-06,34.99,85,Very Positive,83,Square Enix,Square Enix
Rise of Industry,671440,2019-05-02,29.99,62,Mostly Positive,75,Dapper Penguin Studios,Kasedo Games
Surviving Mars,464920,2018-03-15,29.99,76,Very Positive,85,Haemimont Games,Paradox Interactive
The Legend of Heroes: Trails of Cold Steel II,748490,2018-02-14,39.99,81,Very Positive,93,Nihon Falcom,"Marvelous USA, Inc."
Hunt: Showdown,594650,2019-08-27,39.99,81,Very Positive,83,Crytek,Crytek
Past Cure,646050,2018-02-02,29.99,48,Mostly Negative,26,Phantom 8 Studio,Phantom 8 Studio
BattleTech,637090,2018-04-24,39.99,78,Very Positive,83,Harebrained Schemes,Paradox Interactive
Deep Rock Galactic,548430,2020-05-13,29.99,85,Overwhelmingly Positive,97,Ghost Ship Games,Coffee Stain Publishing
Crash Bandicoot N. Sane Trilogy,731490,2018-06-29,39.99,76,Very Positive,93,Vicarious Visions,Activision
Street Fighter 30th Anniversary Collection,586200,2018-05-29,29.99,79,Mostly Positive,70,Digital Eclipse,"Capcom U.S.A, Inc."
Jurassic World Evolution,648350,2018-06-11,44.99,69,Very Positive,86,Frontier Developments,Frontier Developments
Strange Brigade,312670,2018-08-28,49.99,68,Very Positive,84,Rebellion,Rebellion
Beat Saber,620980,2018-05-01,29.99,93,Overwhelmingly Positive,95,Beat Games,Beat Games
Trailblazers,621970,2018-05-08,29.99,69,Mixed,50,Supergonk,Rising Star Games
Shining Resonance Refrain,809890,2018-07-09,29.99,68,Mostly Positive,73,SEGA,SEGA
Dark Souls Remastered,570940,2018-05-23,39.99,84,Very Positive,90,QLOC,Bandai Namco Entertainment
LEGO DC Super-Villains,829110,2018-10-16,39.99,76,Very Positive,90,TT Games,Feral Interactive (Mac)
Wreckfest,228380,2018-06-14,29.99,81,Very Positive,87,Bugbear,THQ Nordic
Insurgency: Sandstorm,581320,2018-12-12,29.99,78,Very Positive,86,New World Interactive,Focus Entertainment
Assassins Creed Odyssey,812140,2018-10-02,59.99,86,Very Positive,89,Ubisoft Quebec,Ubisoft
Budget Cuts,400940,2018-06-14,29.99,76,Very Positive,81,Neat Corporation,Neat Corporation
Shenmue I and II,758330,2018-08-21,29.99,76,Very Positive,89,D3T,SEGA
MONSTER HUNTER: WORLD,582010,2018-08-09,29.99,88,Very Positive,88,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
Darksiders III,606280,2018-11-27,39.99,70,Mostly Positive,76,Gunfire Games,THQ Nordic
Hero-U: Rogue to Redemption,375440,2018-07-10,29.99,80,Very Positive,90,Transolar Games,Transolar Games
Dakar 18,767390,2018-09-25,29.99,59,Mostly Positive,71,Bigmoon Entertainment,Ravenscourt
Two Point Hospital,535930,2018-08-29,29.99,83,Very Positive,92,Two Point Studios,SEGA
We Happy Few,320240,2018-08-10,59.99,62,Mostly Positive,76,Compulsion Games,Gearbox Publishing
Phantom Doctrine,559100,2018-08-14,39.99,73,Mostly Positive,75,CreativeForge Games,Good Shepherd Entertainment
Fell Seal: Arbiter's Mark,699170,2019-04-30,29.99,82,Very Positive,89,6 Eyes Studio,Fulqrum Publishing
The Golf Club 2019 featuring PGA TOUR,695290,2018-08-28,49.99,72,Mostly Positive,73,HB Studios Multimedia Ltd.,2K
Aggressors: Ancient Rome,783210,2018-08-30,29.99,76,Mostly Positive,79,Kubat Software,Slitherine Ltd.
Assetto Corsa Competizione,805550,2019-05-29,39.99,77,Very Positive,92,Kunos Simulazioni,505 Games
Frozen Synapse 2,445020,2018-09-13,29.99,76,Mixed,61,Mode 7,Mode 7
Super Lucky's Tale,847360,2017-11-06,29.99,59,Very Positive,84,Playful Corp.,Xbox Game Studios
Total War: THREE KINGDOMS,779340,2019-05-23,59.99,85,Very Positive,82,CREATIVE ASSEMBLY,Feral Interactive (Linux)
X4: Foundations,392160,2018-11-30,49.99,59,Mostly Positive,77,Egosoft,Egosoft
Visage,594330,2020-10-29,34.99,81,Very Positive,86,SadSquare Studio,SadSquare Studio
LEFT ALIVE,714370,2019-03-05,59.99,40,Mostly Negative,28,Square Enix,Square Enix
The MISSING: J.J. Macfield and the Island of Memories,842910,2018-10-11,29.99,78,Very Positive,89,White Owls Inc.,Arc System Works
The Blackout Club,599080,2019-07-29,29.99,63,Mostly Positive,79,Question,Question
Tropico 6,492720,2019-03-29,39.99,78,Very Positive,87,Limbic Entertainment,Kalypso Media
Underworld Ascendant,692840,2018-11-15,29.99,37,Mixed,42,OtherSide Entertainment,505 Games
Mutant Year Zero: Road to Eden,760060,2018-12-04,34.99,78,Very Positive,90,The Bearded Ladies,Funcom
RIDE 3,759740,2018-11-30,29.99,70,Very Positive,84,Milestone S.r.l.,Milestone S.r.l.
Edge Of Eternity,269190,2021-06-08,29.99,67,Mostly Positive,75,Midgar Studio,Maple Whispering Limited
Katamari Damacy REROLL,848350,2018-12-06,29.99,81,Very Positive,92,MONKEYCRAFT Co. Ltd.,BANDAI NAMCO Entertainment
Far Cry New Dawn,939960,2019-02-15,39.99,73,Mostly Positive,76,Ubisoft Montreal,Ubisoft
Star Control: Origins,271260,2018-09-20,29.99,75,Mostly Positive,72,Stardock Entertainment,Stardock Entertainment
Jon Shafer's At the Gates,241000,2019-01-23,29.99,63,Mixed,40,Conifer Games,Conifer Games
Steel Division 2,919640,2019-06-20,39.99,73,Mostly Positive,79,Eugen Systems,Eugen Systems
Subnautica Below Zero,848450,2021-05-14,29.99,82,Very Positive,91,Unknown Worlds Entertainment,Unknown Worlds Entertainment
Praey for the Gods,494430,2021-12-14,29.99,61,Very Positive,84,No Matter Studios,No Matter Studios
Imperator: Rome,859580,2019-04-25,39.99,76,Mixed,59,Paradox Development Studio,Paradox Interactive
The LEGO Movie 2 Videogame,881320,2019-02-26,29.99,56,Mixed,68,TT Games,Feral interactive (Mac)
Age of Wonders: Planetfall,718850,2019-08-06,49.99,81,Very Positive,80,Triumph Studios,Paradox Interactive
Fate/EXTELLA LINK,622220,2019-03-19,49.99,79,Very Positive,93,Marvelous Inc.,Marvelous
Warhammer: Chaosbane,774241,2019-05-31,29.99,69,Mixed,58,Eko Software,Nacon
The Occupation,765880,2019-03-05,29.99,68,Mixed,69,White Paper Games,Humble Games
RAGE 2,548570,2019-05-13,39.99,73,Mixed,63,id Software,Bethesda Softworks
Trover Saves the Universe,1051200,2019-06-04,29.99,80,Very Positive,91,"Squanch Games, Inc.","Squanch Games, Inc."
Assassin's Creed III Remastered,911400,2019-03-29,39.99,75,Mixed,59,Ubisoft Entertainment,Ubisoft Entertainment				
Super Dragon Ball Heroes World Mission,798510,2019-04-04,59.99,72,Very Positive,84,Dimps Corporation,BANDAI NAMCO Entertainment
Sniper Elite V2 Remastered,728740,2019-05-14,34.99,61,Mostly Positive,75,Rebellion,Rebellion
Remnant: From the Ashes,617290,2019-08-19,39.99,78,Very Positive,85,Gunfire Games,Gearbox Publishing
MORDHAU,629760,2019-04-29,29.99,81,Very Positive,80,Triternion,Triternion
OCTOPATH TRAVELER,921570,2019-06-07,59.99,80,Very Positive,86,Square Enix,Square Enix
Atelier Lulua The Scion of Arland /  ,1045620,2019-06-04,59.99,79,Very Positive,90,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
Bloodstained: Ritual of the Night,692850,2019-06-18,39.99,83,Very Positive,94,ArtPlay,505 Games
Railroad Corporation,797400,2019-11-18,34.99,55,Mostly Positive,75,Corbie Games,Iceberg Interactive
Void Bastards,857980,2019-05-28,29.99,81,Very Positive,87,Blue Manchu,Humble Games
The Surge 2,644830,2019-09-23,29.99,76,Mostly Positive,77,Deck13,Focus Entertainment
Shattered - Tale of the Forgotten King,1045180,2021-02-17,29.99,68,Mostly Positive,72,Redlock Studio,Redlock Studio
Barotrauma,602960,2023-03-13,34.99,81,Very Positive,93,FakeFish,Daedalic Entertainment
Cyberpunk 2077,1091500,2020-12-10,59.99,86,Very Positive,81,CD PROJEKT RED,CD PROJEKT RED
DOOM Eternal,782330,2020-03-20,39.99,88,Very Positive,91,id Software,Bethesda Softworks
Planet Zoo,703080,2019-11-05,44.99,81,Very Positive,90,Frontier Developments,Frontier Developments
Spyro Reignited Trilogy,996580,2019-09-03,39.99,75,Very Positive,93,Toys for Bob,Activision
GreedFall,606880,2019-09-09,34.99,72,Mostly Positive,77,Spiders,Focus Entertainment
EARTH DEFENSE FORCE 5,1007040,2019-07-11,59.99,76,Very Positive,94,SANDLOT,D3PUBLISHER
Field of Glory: Empires,1011390,2019-07-11,39.99,76,Very Positive,82,Ageod,Slitherine Ltd.
The Bard's Tale IV: Director's Cut,1091980,2019-08-27,34.99,84,Mostly Positive,77,inXile Entertainment,inXile Entertainment
Killsquad,910490,2021-10-21,29.99,73,Mostly Positive,72,Novarama,Novarama
Gloomhaven,780290,2019-07-17,34.99,82,Very Positive,85,Flaming Fowl Studios,Twin Sails Interactive
FIA European Truck Racing Championship,940580,2019-07-18,29.99,68,Mixed,66,N-RACING,Nacon
ONINAKI,987720,2019-08-22,49.99,72,Mixed,64,Tokyo RPG Factory,Square Enix
Iratus Lord of the Dead,807120,2020-04-23,29.99,78,Very Positive,85,Unfrozen,Daedalic Entertainment
Monster Boy and the Cursed Kingdom,449610,2019-07-25,29.99,82,Very Positive,90,Game Atelier,FDG Entertainment
Cyberdimension Neptunia: 4 Goddesses Online,632350,2018-02-27,29.99,70,Very Positive,87,IDEA FACTORY,Idea Factory International
Romance of the Three Kingdoms XIII,363150,2016-01-27,59.99,61,Mixed,55,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,278080,2014-05-13,49.99,71,Very Positive,84,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
Indivisible,421170,2019-10-08,39.99,78,Mostly Positive,72,Lab Zero Games,505 Games
Ys VIII: Lacrimosa of DANA,579180,2018-04-16,39.99,69,Very Positive,89,Nihon Falcom,"NIS America, Inc."
Gears 5,1097840,2019-09-10,39.99,82,Mostly Positive,71,The Coalition,Xbox Game Studios
Yooka-Laylee and the Impossible Lair,846870,2019-10-08,29.99,81,Very Positive,86,Playtonic Games,Team17 Digital Ltd
Ni no Kuni: Wrath of the White Witch Remastered,798460,2019-09-20,49.99,82,Very Positive,85,LEVEL-5,BANDAI NAMCO Entertainment
TRIALS of MANA,924980,2020-04-24,49.99,78,Very Positive,92,Square Enix,Square Enix
Fantasy General II,1025440,2019-09-05,39.99,80,Very Positive,82,Owned by Gravity,Slitherine Ltd.
DRAGON BALL Z: KAKAROT,851850,2020-01-17,59.99,73,Very Positive,93,CyberConnect2 Co. Ltd.,Bandai Namco Entertainment Inc.
Atelier Ryza: Ever Darkness and the Secret Hideout,1121560,2019-10-29,59.99,75,Very Positive,87,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
Encased: A Sci-Fi Post-Apocalyptic RPG,921800,2021-09-07,29.99,73,Mostly Positive,78,Dark Crystal Games,Prime Matter
The Jackbox Party Pack 6,1005300,2019-10-17,29.99,80,Overwhelmingly Positive,95,"Jackbox Games, Inc.","Jackbox Games, Inc."
POSTAL 4: No Regerts,707030,2022-04-20,39.99,30,Mostly Positive,74,Running With Scissors,Running With Scissors
Offworld Trading Company,271240,2016-04-28,29.99,78,Mostly Positive,76,Mohawk Games,Stardock Entertainment
EARTH DEFENSE FORCE: IRON RAIN,1039890,2019-10-15,59.99,65,Mixed,58,YUKE'S,D3PUBLISHER
Darksiders Genesis,710920,2019-12-05,29.99,77,Very Positive,83,Airship Syndicate,THQ Nordic
SD GUNDAM G GENERATION CROSS RAYS,728530,2019-11-27,59.99,71,Very Positive,85,TOM CREATE,株式会社バンダイナムコエンターテインメント
Immortal Realms: Vampire Wars,1024480,2020-08-28,29.99,70,Mixed,61,Palindrome Interactive,Kalypso Media
STAR WARS Jedi: Fallen Order,1172380,2019-11-15,39.99,81,Very Positive,88,Respawn Entertainment,Electronic Arts
Pistol Whip,1079800,2019-11-07,29.99,83,Very Positive,93,Cloudhead Games Ltd.,Cloudhead Games Ltd.
Unity of Command II,809230,2019-11-12,29.99,88,Very Positive,81,2x2 Games,2x2 Games
Terminator: Resistance,954740,2019-11-14,39.99,60,Very Positive,92,Teyon,Reef Entertainment
Wasteland 3,719040,2020-08-28,39.99,85,Very Positive,84,inXile Entertainment,inXile Entertainment
Bleeding Edge,1189800,2020-03-24,29.99,62,Mixed,67,Ninja Theory,Ninja Theory
DRAGON QUEST BUILDERS 2,1072420,2019-12-10,49.99,85,Very Positive,92,Square Enix,Square Enix
Narcos: Rise of the Cartels,914110,2019-11-19,29.99,45,Mixed,53,Kuju,Curve Games
Half-Life: Alyx,546560,2020-03-23,59.99,93,Overwhelmingly Positive,98,Valve,Valve
LOST EMBER,563840,2019-11-22,29.99,78,Very Positive,88,Mooneye Studios,Mooneye Studios
Transport Fever 2,1066780,2019-12-11,39.99,76,Very Positive,89,Urban Games,Good Shepherd Entertainment
Budget Cuts 2: Mission Insolvency,1092430,2019-12-12,29.99,74,Very Positive,82,Neat Corporation,Neat Corporation
Red Dead Redemption 2,1174180,2019-11-05,59.99,93,Very Positive,91,Rockstar Games,Rockstar Games
Ashen,649950,2018-12-06,39.99,81,Mixed,69,A44,Annapurna Interactive
GTFO,493520,2019-12-09,39.99,78,Very Positive,87,10 Chambers,10 Chambers
New World,1063730,2021-09-28,39.99,70,Mostly Positive,70,Amazon Games,Amazon Games
Ori and the Will of the Wisps,1057090,2020-03-11,29.99,88,Overwhelmingly Positive,96,Moon Studios GmbH,Xbox Game Studios
Gears Tactics,1184050,2020-04-28,39.99,80,Mostly Positive,75,Splash Damage,Xbox Game Studios
The Walking Dead: Saints and Sinners,916840,2020-01-23,39.99,81,Very Positive,88,Skydance Interactive,Skydance Interactive
RESIDENT EVIL 3,952060,2020-04-03,39.99,77,Very Positive,81,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
ROMANCE OF THE THREE KINGDOMS XIV,872410,2020-12-24,59.99,58,Mixed,60,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
AO Tennis 2,1072500,2020-01-09,49.99,65,Mostly Positive,70,Big Ant Studios,Nacon
Temtem,745920,2022-09-06,44.99,79,Very Positive,83,Crema,Humble Games
MY HERO ONE'S JUSTICE 2,1058450,2020-03-13,39.99,68,Very Positive,88,BYKING,BANDAI NAMCO Entertainment
DAEMON X MACHINA,1167450,2020-02-13,49.99,72,Very Positive,87,Marvelous Inc.,Marvelous
Dungeon Defenders: Awakened,1101190,2020-05-28,29.99,74,Mixed,69,Chromatic Games,Chromatic Games
TT Isle of Man - Ride on the Edge 2,1082180,2020-03-19,29.99,70,Very Positive,82,KT Racing,Nacon
Mega Man Zero/ZX Legacy Collection,999020,2020-02-25,29.99,80,Mostly Positive,79,"CAPCOM CO., LTD.","CAPCOM CO., LTD."
KATANA KAMI: A Way of the Samurai Story,1062340,2020-02-20,29.99,61,Mixed,59,Acquire Corp.,"Spike Chunsoft Co., Ltd. "
SWORD ART ONLINE Alicization Lycoris,1009290,2020-07-10,59.99,53,Mixed,61,"AQURIA Co., Ltd.",BANDAI NAMCO Entertainment
Mount and Blade II: Bannerlord,261550,2022-10-25,49.99,77,Very Positive,87,TaleWorlds Entertainment,TaleWorlds Entertainment
Operencia: The Stolen Sun,985950,2019-03-29,29.99,76,Mostly Positive,78,Zen Studios,Zen Studios
Disaster Report 4: Summer Memories,1060210,2020-04-07,59.99,58,Mostly Positive,70,Granzella Inc.,"NIS America, Inc."
SpongeBob Squarepants: Battle for Bikini Bottom - Rehydrated,969990,2020-06-23,29.99,69,Very Positive,94,Purple Lamp,THQ Nordic
Desperados III,610370,2020-06-16,39.99,86,Overwhelmingly Positive,96,Mimimi Games,THQ Nordic
Destroy All Humans!,803330,2020-07-28,29.99,71,Very Positive,93,Black Forest Games,THQ Nordic
Disintegration,536280,2020-06-15,29.99,62,Mixed,58,V1 Interactive,Private Division
DIRT 5,1038250,2020-11-06,59.99,72,Mixed,59,Codemasters,Electronic Arts
Super Mega Baseball 3,988910,2020-05-13,44.99,80,Very Positive,92,Metalhead Software Inc.,Electronic Arts
Crusader Kings III,1158310,2020-09-01,49.99,91,Very Positive,92,Paradox Development Studio,Paradox Interactive
PGA TOUR 2K21,1016120,2020-08-20,59.99,74,Very Positive,84,HB Studios Multimedia Ltd.,2K
Mafia II: Definitive Edition,1030830,2020-05-19,29.99,72,Mostly Positive,71,Hangar 13,2K
Mafia : Definitive Edition,1030840,2020-05-19,39.99,78,Very Positive,87,Hangar 13,2K
Serious Sam 4,257420,2020-09-24,39.99,68,Very Positive,83,Croteam,Devolver Digital
The Persistence,1140100,2020-05-21,29.99,75,Mixed,64,Firesprite Ltd,Firesprite Ltd
Age of Wonders III,226840,2014-03-31,29.99,80,Very Positive,81,Triumph Studios,Paradox Interactive
Shantae and the Seven Sirens,1191630,2020-05-28,29.99,80,Very Positive,90,WayForward,WayForward
Plants vs. Zombies: Battle for Neighborville,1262240,2019-09-04,39.99,77,Mostly Positive,73,PopCap,Electronic Arts
Need for Speed,1262540,2016-03-15,29.99,68,Mostly Positive,72,Ghost Games,Electronic Arts
Need for Speed Heat,1222680,2019-11-08,69.99,72,Very Positive,84,Ghost Games,Electronic Arts
Phoenix Wright: Ace Attorney Trilogy,787480,2019-04-09,29.99,80,Overwhelmingly Positive,97,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
Mega Man 11,742300,2018-10-02,29.99,79,Very Positive,90,"CAPCOM CO., LTD.","CAPCOM CO., LTD."
Resident Evil 2,883710,2019-01-25,39.99,89,Overwhelmingly Positive,97,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
Resident Evil 6,221040,2013-03-22,29.99,69,Mostly Positive,79,Capcom,Capcom
Resident Evil 4,2050650,2023-03-24,59.99,91,Overwhelmingly Positive,97,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
Resident Evil: Revelations,222480,2013-05-20,29.99,77,Very Positive,86,Capcom,Capcom
Battlefield 1,1238840,2016-10-21,39.99,88,Very Positive,86,DICE,Electronic Arts
Battlefield 4,1238860,2013-10-19,39.99,81,Very Positive,87,DICE,Electronic Arts
