title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers
Spirit of the North,1213700,2020-05-07,49.98,58,Very Positive,86,Infuse Studio,Merge Games
GUILTY GEAR -STRIVE-,1384160,2021-06-11,39.99,85,Very Positive,91,Arc System Works,Arc System Works
King Arthur: Knights Tale,1157390,2022-04-26,44.99,76,Very Positive,83,NeocoreGames,NeocoreGames
Tales of Arise,740130,2021-09-10,39.99,84,Very Positive,88,Bandai Namco Studios Inc.,Bandai Namco Entertainment
King of Seas,1209410,2021-05-25,54.97,68,Mixed,57,3DClouds,Team17
STAR WARS Jedi: Survivor,1774580,2023-04-27,69.99,78,Mixed,65,Respawn,Electronic Arts
Muv-Luv Alternative,802890,2017-09-18,39.99,83,Overwhelmingly Positive,95,aNCHOR Inc.,aNCHOR Inc.
Demeo,1484280,2021-05-06,39.99,83,Very Positive,91,Resolution Games,Resolution Games
Kena: Bridge of Spirits,1954200,2021-09-21,39.99,83,Very Positive,92,Ember Lab,Ember Lab
Sairento VR,555880,2018-02-06,29.99,78,Very Positive,86,Mixed Realms Pte Ltd,Mixed Realms Pte Ltd
The Room VR: A Dark Matter,1104380,2020-03-26,29.99,78,Overwhelmingly Positive,97,Fireproof Games,Fireproof Games
ALTDEUS: Beyond Chronos,1502080,2020-12-04,29.99,78,Very Positive,96,MyDearest Inc.,MyDearest Inc.
SnowRunner,1465360,2020-04-28,29.99,82,Very Positive,89,Saber Interactive,Focus Entertainment
MythForce,363860,2023-09-12,29.99,68,Mixed,63,Beamdog,Aspyr
Down in Bermuda,1107300,2021-01-14,39.98,68,Very Positive,89,Yak & Co,Yak & Co
Red Matter 2,2081470,2022-08-18,29.99,84,Very Positive,94,Vertical Robot,Vertical Robot
FlatOut 4: Total Insanity,402130,2017-04-04,29.99,52,Mixed,52,Kylotonn,Strategy First
HOT WHEELS UNLEASHED 2 - Turbocharged,2051120,2023-10-19,49.99,75,Very Positive,80,Milestone S.r.l.,Milestone S.r.l.
Sifu,2138710,2022-02-08,39.99,79,Very Positive,93,Sloclap,Kepler Interactive
Hogwarts Legacy,990080,2023-02-10,59.99,83,Very Positive,92,Avalanche Software,Warner Bros. Games
Hi-Fi RUSH,1817230,2023-01-25,29.99,89,Overwhelmingly Positive,97,Tango Gameworks,Bethesda Softworks
Starfield,1716740,2023-09-06,69.99,86,Mixed,68,Bethesda Game Studios,Bethesda Softworks
