title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers,total_reviews,positive_reviews,negative_reviews
Anomaly Defenders,294750,2014-05-29,9.99,70,Mostly Positive,75,11 bit studios,11 bit studios,145,99,46
Monster Energy Supercross - The Official Videogame 3,1089830,2020-02-04,24.99,72,Very Positive,88,Milestone S.r.l.,Milestone S.r.l.,590,512,78
Legends of Eisenwald,246760,2014-07-21,19.99,71,Mostly Positive,76,Aterdux Entertainment,Aterdux Entertainment,442,296,146
SPACECOM,263860,2014-09-17,9.99,68,Mixed,65,Flow Combine,11 bit studios,85,56,29
Trials Evolution: Gold Edition,220160,2013-03-21,19.99,85,Mostly Positive,75,Redlynx Ltd,Ubisoft,1338,970,368
ALICE VR,513320,2016-10-27,9.99,55,Mixed,40,Carbon Studio,Klabater,105,40,65
GRIS,683320,2018-12-13,14.99,84,Overwhelmingly Positive,96,Nomada Studio,Devolver Digital,19188,18332,856
This War of Mine,282070,2014-11-14,19.99,83,Very Positive,94,11 bit studios,11 bit studios,18733,17427,1306
Warhammer Quest,326670,2015-01-07,14.99,55,Mostly Positive,70,Rodeo Games,Chilled Mouse,557,395,162
My Memory of Us,651500,2018-10-09,17.99,69,Very Positive,92,Juggler Games,IMGN.PRO,100,91,9
We Are The Dwarves,395570,2016-02-25,14.99,60,Mostly Positive,73,Whale Rock Games,Whale Rock Games,308,211,97
A Case of Distrust,717610,2018-02-08,14.99,77,Very Positive,86,The Wandering Ben,The Wandering Ben,200,170,30
Ring Runner: Flight of the Sages,258010,2013-07-09,4.99,75,Very Positive,84,Triple.B.Titles,Triple.B.Titles,453,389,64
Middle-earth: Shadow of Mordor,241930,2014-09-30,19.99,84,Very Positive,91,Monolith Productions,Warner Bros. Games,28334,25939,2395
Detective Di: The Silk Rose Murders,792040,2019-05-01,10.99,80,Very Positive,88,Nupixo Games,WhisperGames,238,222,16
Transference,647570,2018-09-18,24.99,78,Mostly Positive,72,Ubisoft,Ubisoft,201,139,62
Krater,42170,2012-06-12,14.99,52,Mixed,55,Fatshark,Fatshark,392,212,180
Car Mechanic Simulator 2015,320300,2015-04-23,19.99,68,Very Positive,92,Red Dot Games,PlayWay S.A.,3915,3518,397
Moonlighter,606150,2018-05-29,19.99,74,Very Positive,82,Digital Sun,11 bit studios,5675,4617,1058
Rez Infinite,636450,2017-08-09,24.99,89,Very Positive,91,Monstars Inc.,Enhance,742,684,58
Tiny and Big: Grandpas Leftovers,205910,2012-06-19,11.99,75,Very Positive,92,Black Pants Studio,Black Pants Studio,1594,1466,128
Hostile Waters: Antaeus Rising,267980,2001-06-13,2.99,80,Very Positive,95,Rage Software,Funbox Media Ltd,85,78,7
Anno 2070,48240,2011-11-17,19.99,83,Mixed,59,Blue Byte,Ubisoft,6478,3533,2945
The Messenger,764790,2018-08-30,19.99,83,Very Positive,93,Sabotage,Devolver Digital,3487,3251,236
Goetia,421740,2016-04-14,14.99,79,Mostly Positive,77,Sushee,Forever Entertainment S. A.,303,237,66
Curious Expedition,358130,2016-09-02,14.99,74,Very Positive,91,Maschinen-Mensch,Maschinen-Mensch,1173,1017,156
Kholat,343710,2015-06-09,19.99,64,Mixed,67,IMGN.PRO,IMGN.PRO,765,480,285
The Book of Unwritten Tales,215160,2011-10-28,19.99,82,Very Positive,90,KING Art,THQ Nordic,886,790,96
Max Payne 3,204100,2012-05-31,19.99,87,Very Positive,85,Rockstar Studios,Rockstar Games,17516,14540,2976
Stars in Shadow,464880,2017-01-19,24.99,75,Mostly Positive,78,Ashdar Games,Iceberg Interactive,545,423,122
Pacific Storm Allies,11260,2008-01-28,7.99,60,Mixed,57,Lesta Studio,ESDigital Games,106,49,57
Max Payne 2: The Fall of Max Payne,12150,2003-10-14,14.99,86,Very Positive,94,Remedy Entertainment,Rockstar Games,3341,3154,187
Husk,553960,2017-02-03,19.99,44,Mixed,61,UndeadScout,IMGN.PRO,40,22,18
Audioshield,412740,2016-04-05,19.99,81,Very Positive,80,Dylan Fitterer,Dylan Fitterer,2122,1690,432
Shady Part of Me,1116580,2020-12-10,14.99,78,Very Positive,94,Douze Dixièmes,Focus Entertainment,377,348,29
Darkwood,274520,2017-08-17,14.99,80,Very Positive,94,Acid Wizard Studio,Acid Wizard Studio,7012,6610,402
Max Payne,12140,2001-07-23,9.99,89,Very Positive,89,Remedy Entertainment,Rockstar Games,5622,4908,714
Car Mechanic Simulator 2014,270850,2014-01-24,6.99,61,Very Positive,82,PlayWay S.A.,PlayWay S.A.,1564,1241,323
FAR: Lone Sails,609320,2018-05-17,14.99,80,Very Positive,94,Okomotive,Assemble Entertainment,6362,5947,415
Trials Fusion,245490,2014-04-16,19.99,80,Mixed,67,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",Ubisoft,1281,844,437
Inner Chains,537430,2017-05-18,19.99,40,Mixed,47,Telepaths Tree,IMGN.PRO,127,53,74
Tom Clancy's Rainbow Six Vegas 2,15120,2008-04-15,9.99,78,Very Positive,84,Ubisoft Montreal,Ubisoft,2955,2490,465
Valiant Hearts - The Great War,260230,2014-06-25,14.99,79,Overwhelmingly Positive,95,Ubisoft Montpellier,Ubisoft,6604,6176,428
Nikopol: Secrets of the Immortals,11370,2008-09-20,4.99,68,Mixed,60,White Birds,Meridian4,132,69,63
Doctor Who: The Edge Of Time,1075400,2019-11-12,24.99,60,Mixed,62,Maze Theory,Playstack,141,85,56
Scanner Sombre,475190,2017-04-26,5.99,67,Very Positive,91,Introversion Software,Introversion Software,1668,1521,147
SPRAWL,1549690,2023-08-23,14.99,76,Very Positive,85,MAETH,"Rogue Games, Inc.",396,340,56
Morbid: The Seven Acolytes,1140890,2020-12-03,24.99,71,Mostly Positive,76,Still Running,Merge Games,246,179,67
Slime Rancher,433340,2017-08-01,19.99,81,Overwhelmingly Positive,97,Monomi Park,Monomi Park,53384,52369,1015
Airscape: The Fall of Gravity,317250,2015-08-11,15.96,75,Very Positive,81,Cross-Product,Senpai Studios,869,660,209
Sparklite,943140,2019-11-14,24.99,70,Mostly Positive,75,Red Blue Games,Maple Whispering Limited,199,148,51
Grow Home,323320,2015-02-04,7.99,75,Very Positive,93,"Reflections, a Ubisoft Studio",Ubisoft,2666,2493,173
Silence of the Sleep,321870,2014-10-01,4.99,66,Mostly Positive,77,Jesse Makkonen,Jesse Makkonen,206,154,52
Miasmata,223510,2012-11-28,14.99,76,Mostly Positive,77,IonFx,IonFX Studios,760,593,167
