title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers
Boyfriend Dungeon,674930,2021-08-11,19.99,70,Very Positive,91,Kitfox Games,Kitfox Games
SUPERHOT: MIND CONTROL DELETE,690040,2020-07-16,24.99,78,Very Positive,85,SUPERHOT Team,SUPERHOT Team
World War III: Black Gold,254080,2001-10-16,4.99,71,Mixed,58,Reality Pump,Topware Interactive
Coffee Talk Episode 2: Hibiscus and Butterfly,1663220,2023-04-20,14.99,79,Overwhelmingly Positive,98,Toge Productions,Toge Productions
The Innsmouth Case,1231950,2020-06-23,12.49,73,Mixed,67,RobotPumpkin Games,Assemble Entertainment
Immortal: Unchained,369440,2018-09-07,10.99,63,Mixed,66,Toadman Interactive,Game Odyssey Limited
Green Hell,815370,2019-09-05,24.99,78,Very Positive,87,Creepy Jar,Creepy Jar
Lethal VR,532270,2016-11-08,4.99,66,Very Positive,81,Three Fields Entertainment,Team17 Digital Ltd
The Last Clockwinder,1755100,2022-06-02,24.99,80,Very Positive,97,Pontoco,Cyan Ventures
Car Mechanic Simulator 2021,1190000,2021-08-11,24.99,70,Overwhelmingly Positive,96,Red Dot Games,PlayWay S.A.
Revenge of the Titans,93200,2010-05-24,19.99,79,Very Positive,81,Puppygames,Puppygames
I Expect You To Die,587430,2016-11-30,24.99,77,Overwhelmingly Positive,95,Schell Games,Schell Games
Idol Manager,821880,2021-07-26,19.99,73,Very Positive,87,Glitch Pitch,PLAYISM
Towaga: Among Shadows,907600,2020-07-14,8.99,58,Very Positive,88,Sunnyside Games,Noodlecake
The Amazing American Circus,1433860,2021-09-16,14.99,53,Mixed,64,Klabater,Klabater
Tribe: Primitive Builder,1059900,2023-10-12,21.98,64,Very Positive,84,Space Boat Studios,Polyslash
"Sir, You Are Being Hunted",242880,2014-05-02,19.99,63,Mostly Positive,79,Big Robot Ltd,Big Robot Ltd
Joe Danger 2: The Movie,242110,2013-06-24,14.99,82,Very Positive,81,Hello Games,Hello Games
Warhammer Age of Sigmar: Tempestfall,1337100,2021-11-17,19.99,62,Mixed,65,Carbon Studio,Carbon Studio
Rainbow Billy: The Curse of the Leviathan,1106830,2021-10-05,19.99,81,Very Positive,94,ManaVoid Entertainment,Skybound Games
World War II: Panzer Claws,254100,2002-11-12,4.99,61,Mixed,69,BROKEN_ERROR,Topware Interactive
Pacific Storm,11250,2006-10-02,7.99,67,Mixed,67,Buka Entertainment,ESDigital Games
Hatred,341940,2015-06-01,5.99,43,Very Positive,81,Destructive Creations,Destructive Creations
Achilles: Legends Untold,1314000,2023-11-02,28.98,67,Mostly Positive,77,Dark Point Games,Galaktus
I fell from Grace,672230,2017-12-20,7.99,62,Mostly Positive,72,Deep Taiga,Deep Taiga
Bright Memory: Infinite,1178830,2021-11-11,19.99,67,Very Positive,92,FYQD-Studio,PLAYISM
Jet Kave Adventure,1383700,2021-01-15,14.99,65,Positive,86,7Levels S.A,7Levels S.A.
Megs Monster,1783360,2023-03-02,14.99,85,Overwhelmingly Positive,98,Odencat,Odencat
